szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
Józsa László,Isten hajléka az emberek között : a kunszentmártoni római katolikus nagytemplom,720 J81,,SZTE BTK Néprajzi és Kult. Antropológiai Tansz.,2009,helytörténet; honismeret; templomtörténet; egyházművészet; hitélet; ünnepek; adattár,http://nektar.oszk.hu/hu/manifestation/3519710,
,István király emlékezete;  A koronázási jelvények; István király intelmei : [erkölcstanító könyvecske]; Szent István-legendák,"235.3A István, Szt I. király",,M. Helikon - Európa,1971,magyar történelem; Szt I. István király; államalapítás; forrás,http://nektar.oszk.hu/hu/manifestation/1346519,
Veress Endre,Izabella királyné 1519-1559,929 MTÉ 39,,Magyar Tört. Társ.,1901,magyar történelem; Erdély története; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554364,
,Jézus rejtett szavai ,229 J62,,Holnap,1990,apokrifek és Újszövetség; összehasonlító szövegkritika; bibliamagyarázat; Tamás evangéliuma,http://nektar.oszk.hu/hu/manifestation/672851,
"Nagy Sándor, K.","Jobbágyság története Magyarországon, A",930 TNFK 37,,Pleitz Ny.,1891,magyar történelem; parasztság; hűbéri rendszer; feudális társadalom,http://nektar.oszk.hu/hu/manifestation/3517799,
"Blackwell, Joseph Andrew","Joseph Andrew Blackwell magyarországi küldetései, 1843-1851",943.9 B69,,Európa,1989,"magyar történelem; 1848-1849-es forradalom és szabadságharc; útleírás, forrás",http://nektar.oszk.hu/hu/manifestation/594595,
Sík Csaba (összeáll.),József,J82,,Helikon,1989,magyar irodalom; magyar néprajz; etimológia; magyar nyelv; szemelvények; antológia,http://nektar.oszk.hu/hu/manifestation/788044,
Kemény János,Kemény János erdélyi fejedelem önéletírása,943.9 MTE 01,,Heckenast,1856,magyar történelem; Erdély története; önéletrajz,http://nektar.oszk.hu/hu/manifestation/1553242,
Angyal Dávid,Késmárki Thököly Imre 1657-1705 1-2. köt.,"929 MTÉ 12, 15",,Magyar Tört. Társ.,1888-1889,magyar történelem; Erdély története; hadtörténet; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554331,
Kardos Tibor,Ki volt Mátyás király?,943.9 K18,,Magvető,1983,magyar történelem; I. Mátyás király; humanizmus; reneszánsz; életrajz,http://nektar.oszk.hu/hu/manifestation/655858,
Grandpierre K. Endre,Királygyilkosságok : hogyan haltak meg a magyar királyok?,943.9 G61,,Titikfejtő,1991,magyar történelem; magyar őstörténet; politikai gyilkosság; életrajzok,http://nektar.oszk.hu/hu/manifestation/4187,
Fejérpataky László,"Királyi kanczellária az Árpádok korában, A",943.9 F36,,Akadémia,1885,magyar történelem; középkor; Árpád-kor; államszervezet; királyi kancellária; oklevéltan,http://nektar.oszk.hu/hu/manifestation/1535261,
Szt. István Társ. (szerk.),Kis biblia az általános isk. 3-4. oszt. róm. kat. tanulói számára,220 K49,,Stephaneum,1950,biblikum; hitoktatás; kateketika,http://nektar.oszk.hu/hu/manifestation/1517982,
Szádeczky Lajos,Kovacsóczy Farkas 1576-1594,929 MTÉ 17,,Magyar Tört. Társ.,1891,magyar történelem; Erdély története; politikus; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554337,
Cholnoky Jenő,Kőrösi Csoma Sándor,929 Kőrösi Csoma S.,,Athenaeum,1940,életrajz,http://nektar.oszk.hu/hu/manifestation/1596430,
Fejér György,"Kunok eredete, A",943.9 F36,,Edelmann,1850,magyar történelem,http://nektar.oszk.hu/hu/manifestation/3024399,
Ballagi Géza,"Magyar nemzet története, A 9. A nemzeti államalkotás kora (1815-1847)",943.9 B22,,Athenaeum,1897,magyar történelem; reformkor,http://nektar.oszk.hu/hu/manifestation/1553437,
Karácsonyi János,"Magyar nemzet történeti joga hazánk területéhez a Kárpátoktól le az Adriáig, A",943.9 K17,,Szt. László Ny.,1916,magyar történelem; kisebbségek; nemzetiségi kérdés,http://nektar.oszk.hu/hu/manifestation/3009847,
Hóman Bálint,Magyar pénztörténet 1000-1325,330 H77,,Akadémia,1916,magyar történelem; gazdaságtörténet; numizmatika,http://nektar.oszk.hu/hu/manifestation/1553489,
Bárdossy László,Magyar politika a mohácsi vész után,943.9 B33,,Egyetemi Ny.,1943,"magyar történelem, külpolitika; diplomáciatörténet",http://nektar.oszk.hu/hu/manifestation/2880660,
Szombathy Viktor (szerk.),"Magyar régészet regénye, A",902 M14,,Panoráma,1968,magyar történelem; magyar őstörténet; művelődéstörténet; Pannonia; Magyarország; tanulmányok,http://nektar.oszk.hu/hu/manifestation/1254576,
Szilágyi Sándor (szerk.),Magyar Történelmi Társulat 1877-ik évi aug. 23-30-iki vidéki kirándulása Pozsony városába s vármegyébe : nagygyűlés,943.9 M14,,Akadémia,1877,magyar történelem; Pozsony vármegye; tanulmányok,http://nektar.oszk.hu/hu/manifestation/3193467,
Szilágyi Sándor (szerk.),"Magyar Történelmi Társulat 1879. évi aug. 23-30-ki vidéki kirándulása Maros-Torda vármegyébe s Maros-Vásárhely és Segesvár városaiba, A",943.9 M14,,Akadémia,1879,magyar történelem; Maros-Torda vármegye; tanulmányok,http://nektar.oszk.hu/hu/manifestation/3121830,
Kerékgyártó Árpád (szerk.),Magyarok életrajzai I. szakasz : a hajdankortól az 1600. évig ,929 Vegyes,,Magyar,1858,magyar történelem; életrajzok,http://nektar.oszk.hu/hu/manifestation/1532551,
Jósika Miklós,"Magyarok őstörténelme, A 1-3. köt.",943.9 J78,,Heckenast,1861,magyra történelem; magyar őstörténet,http://nektar.oszk.hu/hu/manifestation/2953390,
Makk Ferenc,Magyarország a 12. században,943.9 M22,,Gondolat,1986,magyar történelem; középkor; Árpád-kor,http://nektar.oszk.hu/hu/manifestation/659886,
Salamon Ferenc,Magyarország a török hódítás korában,943.9 S12,,Heckenast,1864,magyar történelem; török hódoltság,http://nektar.oszk.hu/hu/manifestation/1554179,
Eckhart Ferenc,Magyarország története,943.9 E13,,Káldor,1935,magyar történelem,http://nektar.oszk.hu/hu/manifestation/2998520,
Radványi Imre,Margit-sziget története,943.9 R25,,Szt. István Társ.,1858,magyar történelem; Budapest; Margitsziget,http://nektar.oszk.hu/hu/manifestation/3016074,
Ortvay Tivadar,"Mária, II. Lajos magyar király neje 1505-1558",929 MTÉ 60,,Magyar Tört. Társ.,1914,magyar történelem; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554386,
Márki Sándor,"Mária, Magyarország királynéja 1370-1395",929 MTÉ 01,,Magyar Tört. Társ.,1885,magyar történelem; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554320,
"Taylor, Allan John Percivale","Második világháború képes krónikája, A",940 T36,,Akadémiai,1988,történelem; hadtörténet; II. világháború; képeskönyv,http://nektar.oszk.hu/hu/manifestation/579582,
Kamarás István,Megjelöltek,316 K14,,Eötvös,1988,regény,http://nektar.oszk.hu/hu/manifestation/542282,
Kerékgyártó Árpád,"Míveltség fejlődése Magyarországban, A 1. 889-1301",930.85 K39,,Kilián,1880,magyar történelem; művelődéstörténet; középkor,http://nektar.oszk.hu/hu/manifestation/3020782,
Szakály Ferenc,"Mohácsi csata, A",943.9 Sz24,,Akadémiai,1981,magyar történelem; hadtörténet,http://nektar.oszk.hu/hu/manifestation/570009,
Ajtai Kálmán (Ackermann Kálmán),"Mohácsi vész, A",943.9 A16,,Élet Ny.,1926,magyar történelem; hadtörténet,http://nektar.oszk.hu/hu/manifestation/3114293,
Baráthosi-Balogh Benedek,Mongolok - burjátok,951 B31,,szerző,1930,történelem; néprajz; útleírás; Mongólia,http://nektar.oszk.hu/hu/manifestation/3322616,
Takács Imre OSB (szerk.),"Mons Sacer, 996-1996 : Pannonhalma 1000 éve",271 OSB M84,,Szt. Gellért Hittud. Főisk.,1996,magyar egyháztörténet; szerzetesrendek története; bencés rend; pannonhalmi főapátság; kiállítási katalógus,http://nektar.oszk.hu/hu/manifestation/176597,
Pór Antal,Nagy Lajos 1326-1382,929 MTÉ 22,,Magyar Tört. Társ.,1892,magyar történelem; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554342,
Bognár Krisztina,"Nagyszombati Egyetem fokozatot szerzett hallgatói, 1635-1777, A",370 B74,,ELTE Lvt.,2002,neveléstörténet; intézménytörténet; adattár,http://nektar.oszk.hu/hu/manifestation/939053,
Wertner Mór,Negyedik Béla király története,943.9 W61,,Csanád-Egyházmegyei Ny.,1893,magyar történelem; IV. Béla király; tatárjárás; életrajz,http://nektar.oszk.hu/hu/manifestation/3517922,
"Karssen, Gien",Nők a Bibliában,220 K22,,Evangéliumi,1981,biblikum; művelődéstörténet,http://nektar.oszk.hu/hu/manifestation/1397301,
Jáki Szaniszló OSB,"Ország kulcsai, Az",260 J18,,Ecclesia,1992,fundamentális teológia; katolikus egyház; pápaság; egyháztan,http://nektar.oszk.hu/hu/manifestation/5507,
Németh Imre,"Ősi szó nyomában …, Az : Reguly Antal regényes életrajza",N52,,Móra,1970,életrajzi regény; ifjúsági irodalom,http://nektar.oszk.hu/hu/manifestation/1259421,
Vácz Jenő SJ,"P. Vácz Jenő SJ önéletrajza : Hosszúhetény, 1949. december 15 - Püspökszentlászló, 2003. március 22.",929 Vácz J.,,s.n.,2003,magyar egyháztörténet; szerzetesrendek története; jezsuita rend; magyar jezsuiták; memoár,http://nektar.oszk.hu/hu/manifestation/3617613,
Pap Dénes (közread.),"Parlament Debrecenben, A : 1849",943.9 P38,,Köhler K. A.,1870,magyar történelem; 1848-1849-es forradalom és szabadságharc; országgyűlés; forrás,http://nektar.oszk.hu/hu/manifestation/1584419,
Horvát István,Rajzolatok a' magyar nemzet legrégibb történeteiből,943.9 H84,,Trattner Ny.,1825,magyar történelem; magyar őstörténet,http://nektar.oszk.hu/hu/manifestation/3031253,
Szamota István,Régi magyar utazók Európában 1532-1770,930 TNFK 41,,Pleitz Ny.,1892,Zalánkeményi Kakas István; Bay Mihály; Pápay Gáspár; Ráday Pál; Tóth Ferenc; Szepsi Csombor Márton; Haller Gábor; Rhédey László; Bethlen Miklós; Bezerédj Zsigmond; Szathmáry Király Ádám; Borsos Tamás; Sebesi Ferenc; Rozsnyai Dávid; Sándor Pál; Komáromy János; földrajzi felfedezések; életrajzok; útleírások,http://nektar.oszk.hu/hu/manifestation/3517810,
Pollák János,Renan és az apostolok,239 P80,,Szt. István Társ.,1866,hitvédelem; apologetika; ókeresztény egyház,http://nektar.oszk.hu/hu/manifestation/1553255,
Szilágyi Sándor,Révay Péter és a Szent Korona : (1619-1622) (koll. 1),943.9 Sz80,,Akadémia,1875,magyar történelem; Szentkorona; koronaőrség; forrás,http://nektar.oszk.hu/hu/manifestation/3393589,
"Cohen, Asher","Soá : a zsidó vészkorszak, 1933-1945",940 C24,,Cserépfalvi - Múlt és Jövő,1994,történelem; Európa története; zsidóüldözés; antiszemitizmus; holokauszt; genocídium,http://nektar.oszk.hu/hu/manifestation/146896,
Erdélyi István,Sumér rokonság?,930 E74,,Akadémiai,1989,nyelvészet; sumerológia; sumér nyelv,http://nektar.oszk.hu/hu/manifestation/583294,
Balázs János,Sylvester János és kora,929 Sylvester J.,,Tankvk.,1958,nyelvtudomány; Magyarország; életrajz,http://nektar.oszk.hu/hu/manifestation/1286114,
Gerőcz Kálmán,"Sz. korona tana Sz. Istvánnak Sz. Imréhez szóló Intelmeiben, A",340 G43,,szerző,1930,eszmetörténet; jogtörténet; Magyarország; Szentkorona-tan; Szt I. István király; Szt Imre; Intelmek,http://nektar.oszk.hu/hu/manifestation/3022440,
Veres Péter,Szárszó,943.9 V69,,Magvető,1971,magyar történelem; magyar irodalom; szárszói konferencia; memoár,http://nektar.oszk.hu/hu/manifestation/1261333,
Huszár Károly,"Száz év előtti kultúrharcz, a jelenkor tükre : történeti és életképek a magyar nemzet számára",261 H98,,Csitári Ny.,1898,magyar történelem; kultúrharc; egyház és állam,http://nektar.oszk.hu/hu/manifestation/3107741,
Dézsi Lajos,Szenczi Molnár Albert : 1574-1633,929 MTÉ 30,,Magyar Tört. Társ.,1897,magyar történelem; magyar irodalom; irodalomtörténet; neveléstörténet; reformáció; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554358,
Seidl Ambrus,Szent Imre város története és szellemiségének kialakulása,908 Budapest-Szentimreváros,,Szentimrevárosi Egyes.,1993,magyar történelem; helytörténet; honismeret,http://nektar.oszk.hu/hu/manifestation/94397,
Karácsonyi János,Szent László meghódítja a régi Szlavóniát,943.9 K17,,Akadémia,1916,magyar történelem; hadtörténet; Szt I. László király; Szlavónia,http://nektar.oszk.hu/hu/manifestation/3395998,
"Parsch, Pius OSB","Szentmise magyarázata a liturgikus megújulás szellemében, A",264 P38,,Szociális Missziótársulat,1937,liturgiatörténet,http://nektar.oszk.hu/hu/manifestation/1557004,
Jakó Zsigmond,"Társadalom, egyház, művelődés : tanulmányok Erdély történelméhez",943.9 J19,,METEM,1997,magyar történelem; Erdély története; művelődéstörténet; egyházak,http://nektar.oszk.hu/hu/manifestation/265337,
"Katona Tamás (vál., szerk.)","Tatárjárás emlékezete, A",943.9 T34,,M. Helikon,1981,magyar történelem; történelmi forrás,http://nektar.oszk.hu/hu/manifestation/639201,
Félegyházy József,"Tatárjárás történeti kútfőinek kritikája, A",943.9 F41,,Kapisztrán Ny.,1941,magyar történelem; forráskritika,http://nektar.oszk.hu/hu/manifestation/2721319,
Túrmezei Ferenc,Térképvázlatok a hitoktatásban,268 T95,,Korda,1942,térképek; kateketika,http://nektar.oszk.hu/hu/manifestation/3079137,
Hegedüs András,"Történelem és a hatalom igézetében, A : Életrajzi elemzések",943.9 H49,,Kossuth,1988,magyar történelem; belpolitika; Györffy Kollégium; kommunista párt; MADISZ; földreform; fordulat éve; kollektivizálás; Rákosi-korszak; Magyar Dolgozók Pártja; 1956-os forradalom; emigráció; önéletrajz; memoár,http://nektar.oszk.hu/hu/manifestation/602471,
Hatvani Mihály,Történelmi zsebkönyv : rajzok a magyar történelemből ,943.9 H40,,Lauffer - Stolp,1859,Magyarország története; tanulmányok,http://nektar.oszk.hu/hu/manifestation/3033922,
Pór Antal,Trencsényi Csák Máté 1260-1321,929 MTÉ 13,,Méhner,1888,magyar történelem; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554334,
Pusztay János,"Ugor-török háború után, Az : Fejezetek a magyar nyelvhasonlítás történetéből ",800 Magyar P98,,Magvető,1977,nyelvészet; magyar nyelv,http://nektar.oszk.hu/hu/manifestation/652615,
,Újszövetség,225 U46,,Ref. Zsinati Iroda,1980,biblikum; Biblia,http://nektar.oszk.hu/hu/manifestation/790960,
,Újszövetségi Szentírás 2. Szent Pál apostol levelei; Katolikus levelek; Jelenések könyve,220B2 U46,,Szt. István Társ.,1957,biblikum; Biblia,http://nektar.oszk.hu/hu/manifestation/3588761,
Káldi György SJ (ford.),"Úr Jézus Krisztus négy evangéliuma és az apostolok cselekedetei, Az",220B1 U74,,Szt. István Társ.,1904,"biblikum; Biblia, Újszövetség",http://nektar.oszk.hu/hu/manifestation/3579595,
Lukcsics József,Uski János veszprémi püspök Zsigmond király diplomatája (Klny. a Századokból),929 Uski J.,,Athenaeum Ny.,1908,magyar egyháztörténet; diplomáciatörténet; életrajz,http://nektar.oszk.hu/hu/manifestation/3016316,
Kisházi-Kovács László,"Városi kegyuraság Szegeden, A : a kezdetektől 1850-ig",348 K51,,METEM,2006,magyar egyháztörténet; egyházjog; jogtörténet; kegyúri jog; helytörténet,http://nektar.oszk.hu/hu/manifestation/2632707,
Kalász Elek OCist,Vázlatok a magyar földön 800 éves Ciszterci Rend múltjából ,271 OCist K12,,Bencze Ny.,1943,magyar egyháztörténet; szerzetesrendek története; ciszterci rend,http://nektar.oszk.hu/hu/manifestation/3195020,
Fraknói Vilmos,Vitéz János esztergomi érsek élete,929 Vitéz J.,,Szt. István Társ.,1879,magyar egyháztörténet; esztergomi érsekség; váradi püspökség; művelődéstörténet; humanizmus; reneszánsz; életrajz,http://nektar.oszk.hu/hu/manifestation/1536020,
Mika Sándor,Weiss Mihály : egy szász államférfiú a XVII. századból,929 MTÉ 24,,Magyar Tört. Társ.,1893,magyar történelem; Erdély története; politikatörténet; Magyar történeti életrajzok sorozat,http://nektar.oszk.hu/hu/manifestation/1554344,
Balássy Ferenc,"Zámi és ohati apátságok, A",271 B17,,Akadémia,1881,magyar egyháztörténet; szerzetesrendek története; egri püspökség,http://nektar.oszk.hu/hu/manifestation/3394185,
Szilágyi Ferenc,Zilah történelméből,943.9  Sz79,,Eggenberger,1870,magyar történelem; Erdély története; helytörténet; dokumentumok,http://nektar.oszk.hu/hu/manifestation/3014079,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Pap József, nagysomkuti, ifj.",Adalékok Máramaros történetéhez,943.9 P25,,Máramarosi Független Újság Ny.,1909,magyar történelem; Máramaros vármegye,http://nektar.oszk.hu/hu/manifestation/3017042,
Tarnóczi János,"Amiről a józsefvárosi harangok beszélnek ... : a b.-pesti Szent József plébániatemplom, plébánia és városrész története",270 T31,,Szt. József Egyházközs.,1933,magyar egyháztörténet; esztergomi érsekség; plébániatörténet; helytörténet; Budapest,http://nektar.oszk.hu/hu/manifestation/3147800,
Veress Endre (gyűjt.),Annuae litterae Societatis Jesu de rebus Transylvanicis temporibus principum Báthory : Jézus Társasága évkönyveinek jelentései a Báthoryak korabeli erdélyi ügyekről ,943.9 A65,,"Egyhm. Ny., Veszprém ",1921,magyar történelem; Erdély története; forrás; jezsuita rend,http://nektar.oszk.hu/hu/manifestation/1569853,
Fraknói Vilmos,"Bécsi Pázmány-Intézet megalapítása, A",370 F88,,Stephaneum Ny.,1923,neveléstörténet; papnevelés története; Magyarország; Ausztria; Pázmáneum,http://nektar.oszk.hu/hu/manifestation/2997476,
Haan Lajos - Zsilinszky Mihály (összegyűjt.),Békésmegyei oklevéltár számos hazánk beltörténetére vonatkozó adatokkal ,943.9 B45,,Tettey N. és Társa,1877,magyar történelem; Békés vármegye; helytörténet; forrás,http://nektar.oszk.hu/hu/manifestation/1569247,
,Bibliotheca Corvina : Mátyás király budai könyvtára,930.85 B61,,Szt. István Akad.,1927,művelődéstörténet; könyvtártörténet; Corvina Könyvtár; I. Mátyás király; képeskönyv,http://nektar.oszk.hu/hu/manifestation/3183322,
Szokolay Antal (szerk.),"Budapest-újlaki Róm. Kath. Egyház évkönyvei, A",270 B92,,Held Ny.,1926,magyar egyháztörténet; esztergomi érsekség; plébániatörténet; helytörténet; Budapest,http://nektar.oszk.hu/hu/manifestation/2744435,
Deák Farkas (sajtó alá rend.),"Bujdosók levéltára, A : a gr. Teleki-család maros-vásárhelyi levéltárából ",930.85 B96,,Akadémia,1883,magyar történelem; Wesselényi-összeesküvés; Thököly imre; Erdély története; Apaffy Mihály; levelek,http://nektar.oszk.hu/hu/manifestation/1540667,
Ebers György,Cicerone a régi és új Egyiptomon át 1-2. köt.,930 TNFK 61-62,,Pleitz Ny.,1893,történelem; földrajz; Észak-Afrika; útleírás,http://nektar.oszk.hu/hu/manifestation/3517945,
Juhász Kálmán,"Csanádi püspökség története, A : 1307-1386",270 J90,,Csanád vm. Közönsége,1946,magyar egyháztörténet,http://nektar.oszk.hu/hu/manifestation/3405551,
Juhász Kálmán,"Csanádi püspökség története, A : 1500-1552",270 J90,,s.n.,1947,magyar egyháztörténet,http://nektar.oszk.hu/hu/manifestation/3405593,
Adamik Tamás (vál.),Csodás evangéliumok ,229 C76,,Telosz,1996,ókeresztény irodalom; apokrifek;szöveggyűjtemény,http://nektar.oszk.hu/hu/manifestation/211664,
Artner Edgár,Egyház és történelem : az isteni és emberi elem megnyilatkozása az egyház történetében,270 A86,,Apostol Ny.,1926,egyháztörténet,http://nektar.oszk.hu/hu/manifestation/3085775,
Tóth János,"Egyház Éjszak-Amerikában, Az",270 T74,,Pallas Ny.,1892,egyháztörténet; Észak-Amerika,http://nektar.oszk.hu/hu/manifestation/3097734,
Radó Polikárp OSB (szerk.),"Egyház szentjei, Az",235.3A Vegyes,,Palladis,1943,hagiográfia; szentek élete; életrajzok,http://nektar.oszk.hu/hu/manifestation/2843339,
"Smiles, Samuel","Élet és munka, vagy Munkás, művelt és tudós férfiak jellemrajza",930.85 S68,,Lévai,1897,művelődéstörténet,http://nektar.oszk.hu/hu/manifestation/3075856,
Concha Győző,Eötvös és Montalembert barátsága : adalék a magyar katholikusok autonómiájának kezdeteihez,261 C26,,szerző,1918,politika; államelmélet; egyház és állam; autonómia; Eötvös József,http://nektar.oszk.hu/hu/manifestation/3060720,
"Guizot, Francois",Értekezés az angol forradalomnak története felett,942.0 G70,,Kilián,1851,angol történelem; angol polgári forradalom,http://nektar.oszk.hu/hu/manifestation/3050958,
Gratz Gusztáv,Európai külpolitika,940 G62,,Magyar Szemle Társ.,1929,történelem; Európa története,http://nektar.oszk.hu/hu/manifestation/3320280,
,"Félhold szerelmesei, A : az afrikai és európai ferences missziók rövid föld- és néprajza, története, módszere és jelenlegi helyzete",271 OFM F42,,A Szentföld Magyarországi Biztosi Hivatala,1934,egyháztörténet; szerztesrendek története; ferences rend,http://nektar.oszk.hu/hu/manifestation/3246791,
Görgey Artúr,Gazdátlan levelek,943.9 G58,,Ráth,1867,memoárok,http://nektar.oszk.hu/hu/manifestation/1543566,
"Lamartine, Alphonse de","Girondiak története, A 1-3. köt.",944 L19,,Pfeifer,1865,francia történelem; francia forradalom; girondisták,http://nektar.oszk.hu/hu/manifestation/1541443,
Kovács Lajos,Gróf Széchenyi István közéletének három utolsó éve 1846-1848,943.9 K80,,Franklin,1889,magyar történelem; politikai élet; életrajz,http://nektar.oszk.hu/hu/manifestation/1535251,
Villányi Szaniszló,Három évtized Esztergom-megye és város múltjából : 1684-1714,943.9 V88,,Laiszky Ny.,1892,magyar történelem; helytörténet; Esztergom vármegye,http://nektar.oszk.hu/hu/manifestation/3014304http://nektar.oszk.hu/hu/manifestation/3014304,
Patonay József,Horváth Jenő (Klny. II. ker. Egyetemi Kat. Gimn. és a Ferenc József Nevelőintézet évkönyve 1940-41),929 Horváth J.,,Budapesti II. ker. Kir. Egyet. Kat. Gimnázium - Ferenc József Nevelőintézet,1941,életrajz,http://nektar.oszk.hu/hu/manifestation/1610537,
Fraknói Vilmos,Horváth Mihály emlékezete,929 Horváth M.,,Ráth,1879,történetírás; Magyarország; életrajz; gyászbeszéd,http://nektar.oszk.hu/hu/manifestation/2998283,
"Tosatti, Marco","II. János Pál, a zarándok pápa","235.3 János Pál, II.",,Gulliver,1996,egyháztörténet; pápaság története; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/183914,
Istóczy Győző,"Istóczy Győző országgyűlési beszédei, indítványai és törvényjavaslatai : 1872-1896",320 I78,,szerző,1904,belpolitika; politikus; Magyarország; beszédek,http://nektar.oszk.hu/hu/manifestation/3062593,
Jerney János,Jerney János Keleti utazása a magyarok őshelyeinek kinyomozása végett : 1844 és 1845 1-2. köt.,943.9 J59,,szerző,1851,magyar történelem; magyar őstörténet; útleírás,http://nektar.oszk.hu/hu/manifestation/3023822,
Ferenc pápa (Jorge Mario Bergoglio),Jó napot! Ferenc pápa vagyok,929 Ferenc pápa,,Jézus Társasága Mo. Rendtartománya,2013,interjú,http://nektar.oszk.hu/hu/manifestation/3499133,
Szinnyei Ferenc,Jósika Miklós,929 Jósika M.,,Akadémia,1915,magyar irodalomtörténet; székfoglaló,http://nektar.oszk.hu/hu/manifestation/3413213,
,Jubileumi év : kalendárium Krisztus születésének kétezredik és Magyarország keresztény királysággá válásának ezredik évfordulójára,244 J86,,Corvinus,2000,egyházi év; ünnepek; szentek élete; egyháztörténet; elmélkedések,http://nektar.oszk.hu/hu/manifestation/415087,
"Napóleon, I. Bonaparte császár",Julius Caesar története,937 N35,,Hartleben,1865,történelem; Római Birodalom; Róma története,http://nektar.oszk.hu/hu/manifestation/3035138,
Schweighardt Veremund OFMCap,"Kapucinus rend rövid története, A",271 OFMCap S42,,Kapucinus rend,1927,egyháztörténet; szerzetesrendek története; ferences rend; kapucinus rend,http://nektar.oszk.hu/hu/manifestation/3200751,
"Wolfsgruber, Cölestin OSB","Karolina Auguszta, az ""anya-császárné"", Magyarország koronás királynéja",929 Karolina A.,,Pázmány Ny.,1898,történelem; Európa története; magyar történelem; életrajz,http://nektar.oszk.hu/hu/manifestation/3020715,
Lengyel Tamás,Klapka György emlékiratai és emigrációs működése,943.9 L52,,Bethlen Ny.,1936,magyar történelem; 1848-1849-es forradalom és szabadságharc; memoár,http://nektar.oszk.hu/hu/manifestation/1541701,
Horváth Mihály,Kossuth Lajos újabb leveleire,943.9 H90,,Ráth,1868,magyar történelem; politika; kiegyezés; vitairat,http://nektar.oszk.hu/hu/manifestation/3033712,
Székely Imre,Krisztus Király-templom : harangjáték,720 Sz48,,Mikes,2002,egyházművészet; Rózsadombi Krisztus Király-templom; Budapest,http://nektar.oszk.hu/hu/manifestation/919776,
Szilágyi Sándor (szerk.),Levelek és okiratok I. Rákóczy György keleti összeköttetései történetéhez,943.9 L62,,Knoll,1883,magyar történelem; külpolitika; I. Rákóczi György,http://nektar.oszk.hu/hu/manifestation/1537074,
Pallmann Péter Piar,"Magyar piaristák II. József uralkodása alatt, A",271 Piar P19,,Stief Ny.,1914,magyar egyháztörténet; szerzetesrendek története; piarista rend; egyházügy; valláspolitika,http://nektar.oszk.hu/hu/manifestation/3071557,
Virág Benedek OSPPE,"Magyar századok 1. IX-XIII., 2. 1301-1437",943.9 V90,,Landerer Ny.,1808-1816,magyar történelem; magyar irodalom; középkor,http://nektar.oszk.hu/hu/manifestation/3079634,
Szekfű Gyula (szerk.),"Magyarság és a szlávok, A",943.9 M18,,Magyarságtud. Int.,1942,történelem; művelődéstörténet; magyarok; szlávok; néprajz; tanulmányok,http://nektar.oszk.hu/hu/manifestation/2745099,
Szemere Bertalan,Naplóm 1-2. köt.,929 Szemere B.,,Ráth,1869,életrajz,http://nektar.oszk.hu/hu/manifestation/3025923,
Ferenc pápa (Jorge Mario Bergoglio),"Nyitott ész, hívő szív",248 F49,,Új Ember,2013,keresztény hit; lelkigyakorlat; elmélkedések,http://nektar.oszk.hu/hu/manifestation/3492180,
Pap Dénes (közread.),Okmánytár Magyarország függetlenségi harczának történetéhez 1848-1849 1-2. köt.,943.9 O16,,Heckenast,1868-1869,magyar történelem; 1848-1849-es forradalom és szabadságharc; források,http://nektar.oszk.hu/hu/manifestation/1568455,
Bertha Sándor,Országgyűlési tárcza 1830-ról,943.9 B57,,Trattner-Károlyi Ny.,1843,,http://nektar.oszk.hu/hu/manifestation/3131045,
Takács Imre OSB (szerk.),Paradisum plantavit : bencés monostorok a középkori Magyarországon : kiállítás a Pannonhalmi Bencés Főapátságban 2001. március 21-től november 11-ig,271 OSB P37,,Pannonhalmi Bencés Főapátság,2001,magyar egyháztörténet; szerzetesrendek története; művelődéstörténet; könyvtártörténet; egyházjog; egyházművészet; bencés rend; kiállítási katalógus; tanulmányok,http://nektar.oszk.hu/hu/manifestation/804729,
Hollós János,Patrológia,276 H76,,Hittud. Főisk. Debrecen,1984,patrisztika; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1506410,
Kautz Gyula,"Politika, vagy Országászattan tekintettel a két művelt világrész államintézményeire és törvényhozására : rendszeres tan- és kézikönyvül",320 K28,,Heckenast,1862,alkotmányjog; államelmélet; államhatalom; közigazgatás; kézikönyv,http://nektar.oszk.hu/hu/manifestation/3099797,
Grünwald Béla,"Régi Magyarország, A : 1711-1825",943.9 G69,,Franklin,1888,magyar történelem; művelődéstörténet; közigazgatás,http://nektar.oszk.hu/hu/manifestation/1553591,
